Austria,92,50,33,60,24,
Netherlands,91,24,10,29,5,48
Switzerland,91,36,13,49,4,35
Denmark,89,32,32,54,29,
Sweden,89,37,14,41,9,86
Canada,88,70,26,47,30,59
Finland,87,49,26,48,20,84
Ireland,87,74,47,54,10,
France,87,30,25,57,11,60
Germany,85,18,21,25,6,34
Spain,84,53,25,44,10,44
Norway,84,44,29,43,14,87
Hungary,83,45,45,75,8,
Portugal,83,56,35,51,9,
Czech Republic,83,39,39,39,6,84
United Kingdom,83,50,30,33,14,62
Australia,82,69,20,51,36,62
Italy,81,42,14,,,43
New Zealand,80,70,34,61,28,82
USA,80,73,32,52,41,64
Slovakia,78,33,21,39,3,
Poland,75,55,48,45,7,74
Malaysia,74,69,50,,,79
Israel,73,51,27,73,21,
Slovenia,72,55,24,46,6,74
Cyprus,71,90,,,,
Chile,71,68,31,58,,58
Jordan,70,70,55,,,93
Bulgaria,67,37,27,66,15,60
Russian Federation,66,441,44,26,20,84
Turkey,64,81,34,,,97
Latvia,64,34,,28,3,
Japan,64,32,42,49,39,24
Romania,63,38,18,,,68
Uruguay,63,74,35,56,13,63
Argentina,63,60,21,,,51
South Korea,63,22,51,40,10,72
South Africa,63,74,57,61,26,70
Ukraine,62,30,22,,,67
Thailand,61,85,54,,,90
Venezuela,60,87,61,58,32,
Brazil,60,39,18,,,61
Mexico,59,83,50,,,75
Philippines,58,80,71,36,22,
China,58,21,56,,16,87
Trinidad and Tobago,58,91,27,,,68
Peru,58,,,,,77
Morocco,56,58,70,,,77
Moldova,56,18,20,,,68
Egypt,56,73,63,,,78
Serbia,54,48,24,,,61
Zambia,54,63,42,,,64
Indonesia,54,46,51,,,92
Guatemala,53,88,,,,70
Ghana,51,93,52,,,89
Georgia,49,76,46,,,70
India,46,73,57,,,81
Mali,42,90,74,,,88
Vietnam,40,81,47,,,95
Burkina Faso,39,83,62,,,65
Iran,38,63,,,,81
Ethiopia,34,70,51,,,77
Rwanda,31,78,46,,,95
