Section,SU ID,SA1,SA2,Q3,Q2,Q1,Paper,Participation,SA_scores,Q_scores,Paper_score,Participation_score,Final_score
H,6166865,27.5,30,24,22,23.67,86,17,71.88,88.19,86,85,81.78
F,6328649,34.5,29,20.58,23,22.5,82,17,79.38,83.65,82,85,81.98
R,6285564,5.5,26.25,12.83,11,7.67,88,18,39.69,39.88,88,90,69.09
F,6250511,35,37,22.75,20,25,85,15,90,85.76,85,75,84.58
W,6017576,29,38,22.5,20,16.5,94,15,83.75,74.68,94,75,85.19
W,6250758,30,29,23,20,20,61,19,73.75,79.75,61,95,73.5
W,6254402,37.5,33,20.75,24,22,85,16,88.13,84.49,85,80,84.89
R,6407388,30,38,22.58,20,24,82,17.4,85,84.28,82,87,84.13
H,6001139,30.5,37,22.58,20,23.67,95,17,84.38,83.86,95,85,88.7
F,6261725,35.5,39,19.67,20,22.2,93,16,93.13,78.32,93,80,88.97
F,6330080,28.5,21,20.58,21,24,86,18,61.88,83.02,86,90,79.26
W,6350925,34,39,22.75,24,21,93,17,91.25,85.76,93,85,90.15
W,6261824,28,35,22.25,24,19.5,90,16,78.75,83.23,90,80,83.95
F,6337406,32,38,25.75,22,20.2,97,20,87.5,86.01,97,100,93.65
W,5902202,28.5,29,19.75,18,20.17,75,16,71.88,73.32,75,80,74.89
F,6254899,38.5,40,22.58,22,25,91,20,98.13,88.08,91,100,94.65
W,6416946,37,37,25,23,25,97,17,92.5,92.41,97,85,92.79
W,6416953,34.5,34,23.75,23,24,94,19,85.63,89.56,94,95,91.24
H,6345579,35,35,20.58,23,23.5,78,16,87.5,84.92,78,80,81.94
H,6417134,30.5,28.25,14.41,18,22.87,87,17,73.44,69.97,87,85,80.83
W,6337500,33,33,25,20,24,93,18,82.5,87.34,93,90,88.68
H,6182404,32.5,31,17.58,18,17.8,89,14,79.38,67.57,89,70,80.17
W,6209055,40,38,28.58,24,24.2,94,18,97.5,97.19,94,90,94.57
R,6197751,39,39,25,24,25,95,20,97.5,93.67,95,100,96.62
F,6337608,36.5,38.5,21.08,20,22.4,93,18,93.75,80.36,93,90,91.36
F,6456940,38,38,23.25,22,25,96,20,95,88.92,96,100,95.79
W,6343613,32,32.5,22.08,24,21.5,95,16,80.63,85.54,95,80,86.74
F,6202299,29.5,22,19.25,20,16.3,50,14,64.38,70.32,50,70,60.34
Missing,6454229,25,,18.92,20,20.5,,,31.25,75.21,0,0,16.9
R,6339129,37.5,38,22.25,20,11.33,92,19.2,94.38,67.82,92,96,91.09
R,6178675,33.5,38,23.08,22,19,90,18.3,89.38,81.12,90,91.5,89.22
R,6280682,27.5,25,20.66,22,20.4,80,19,65.63,79.82,80,95,78.67
W,6324150,18.5,22,18.08,,13.63,79,14,50.63,40.14,79,70,64.8
W,6299032,32,35.5,22.91,22,21,89,18,84.38,83.43,89,90,87.26
F,6172583,35,38,18.25,22,22,89,20,91.25,78.8,89,100,90.85
F,6173618,35.5,36,23.33,24,25,93,17,89.38,91.56,93,85,90.17
H,6328667,32.5,35,20.58,23,24,88,16,84.38,85.54,88,80,85.07
W,6335762,33.5,36,23.75,22,22.9,83,17,86.88,86.9,83,85,84.95
R,6182633,27.5,23,14.33,16,0,80,19.5,63.13,38.39,80,97.5,74.28
H,6453396,32.5,35,23.08,18,25,98,18,84.38,83.65,98,90,90.88
Missing,6385807,0,,0,14,13.07,,8,0,34.27,0,40,11.43
R,6281401,38.25,39,27.25,15,21.8,95,19.2,96.56,81.08,95,96,94.28
Missing,6256895,35.5,36.5,25.58,24,20.6,,18,90,88.84,0,90,53.88
R,6177908,19.5,30,21.41,22,11.63,75,14,61.88,69.67,75,70,69.53
R,6199298,35,39,21.25,24,21,93,17,92.5,83.86,93,85,90.34
F,6368869,38.5,36,27.75,24,22,95,20,93.13,93.35,95,100,95.27
H,6337891,32,38,28.58,24,25,95,18,87.5,98.21,95,90,92.07
R,6330192,31,38,25.33,24,21,80,18.7,86.25,89.03,80,93.5,85.48
W,6206545,32.5,23,22,20,18,89,16,69.38,75.95,89,80,80.01
F,6334782,33,35.5,18.25,20,24.8,92,17,85.63,79.81,92,85,87.47
W,6262935,33.5,37.5,21.42,22,21.6,94,16,88.75,82.3,94,80,88.45
F,6301387,35,34,22.91,20,13.6,95,17.8,86.25,71.53,95,89,88.83
B,6174742,34.5,29.75,25.33,18,23.5,85,19,80.31,84.6,85,95,85.55
F,6453205,36,32,21.33,20,23.27,82,18,85,81.77,82,90,84.48
H,6387547,35,34,14.92,21,20.37,94,17,86.25,71.25,94,85,87.6
R,50010192,38.5,38,28,22,25,95,19.2,95.63,94.94,95,96,95.38
F,6257706,34.5,34,22.83,22,20.5,87,19,85.63,82.7,87,95,87.76
F,6257825,35.5,38,28.33,13,23.5,85,18,91.88,82.07,85,90,87.77
R,6420177,37,38,24.58,21,0,95,16.5,93.75,57.7,95,82.5,88.4
R,5307744,27.5,38,22.41,13,13.7,80,15,81.88,62.16,80,75,77.78
R,6369616,30.5,33,15.75,22,18,75,16.5,79.38,70.57,75,82.5,77.37
W,6329945,38,39.5,22.75,22,24.4,94,18,96.88,87.53,94,90,93.42
F,6407162,22.5,20,17.42,16,18.6,77,18,53.13,65.84,77,90,71.32
R,6303429,32.5,31,18.75,13,24,85,14,79.38,70.57,85,70,78.87
F,6282112,39,37.5,28.25,24,24.67,96,20,95.63,97.37,96,100,96.82
H,6144070,36.5,34,20.41,22,21.9,75,16,88.13,81.41,75,80,80.58
H,6342442,29,38,22.58,19,21,93,16,83.75,79.22,93,80,86.25
W,6447841,33,34,24.58,22,23,92,20,83.75,88.08,92,100,90.73
F,6349994,27.5,32.5,14.5,12,18.2,92,14,75,56.58,92,70,78.96
H,6421207,33.5,37.5,24,22,23.3,87,20,88.75,87.72,87,100,90.2
F,6372520,40,40,26.58,24,22,95,20,100,91.88,95,100,97.19
H,6360965,34,37,19.08,17,18.5,93,17,88.75,69.09,93,85,87.73
F,6251291,33,36,20.58,21,22.5,87,20,86.25,81.11,87,100,88.79
R,6429919,33.5,32,20.67,18,22.8,88,17.4,81.88,77.81,88,87,84.94
F,6429934,31,37,16.25,16,20.8,82,16,85,67.15,82,80,81.02
W,6263722,29.5,35,21.42,20,21,81,17,80.63,79.01,81,85,81.49
H,6336886,36,40,20.5,22,19.3,97,18,95,78.23,97,90,93.12
W,6338378,30,33,21.83,14,19.47,90,17,78.75,70,90,85,83.63
W,6422008,25.5,36,23,24,22.8,94,16,76.88,88.35,94,80,85.5
F,6167117,22.75,23,9.92,15,3.57,73,14,57.19,36.06,73,70,63.96
R,6370926,38.5,36,23.58,22,25,90,18,93.13,89.35,90,90,90.87
W,6334602,32,36,28.08,24,19.63,96,18,85,90.77,96,90,90.98
W,6175828,33,34,27.83,24,12.5,88,16,83.75,81.43,88,80,84.47
H,6330303,27.75,34,22.75,22,22.8,78,18,77.19,85.51,78,90,80.91
W,6324172,11.5,32,17.92,,0,75,17,54.38,22.68,75,85,65.58
F,6259658,34,40,24.33,24,25,94,19,92.5,92.82,94,95,93.63
H,6342466,23,33.25,23.08,16,21,82,16,70.31,76.05,82,80,77.5
H,6281815,37,39,21.75,24,21,85,18,95,84.49,85,90,88.95
F,6345053,38,39.5,25.08,24,25,97,20,96.88,93.78,97,100,97.24
R,6086470,32.5,36,22.08,24,15.2,90,17.4,85.63,77.57,90,87,86.84
F,6430330,32.5,36,23.75,22,25,87,20,85.63,89.56,87,100,89.44
R,6430388,35,37,21,20,22,92,19.2,90,79.75,92,96,90.97
H,6260298,34.5,36,21.42,22,23,88,17,88.13,84.07,88,85,87.04
R,6407185,23,19,13,20,19.5,70,14,52.5,66.46,70,70,64.4
H,6380437,30,37,22.41,19,19,80,18,83.75,76.47,80,90,82.77
R,6443758,36,40,21.58,23,24.47,95,20,95,87.41,95,100,95.24
W,6245430,23.5,34,21.75,18,22.5,85,17,71.88,78.8,85,85,80.44
R,6175156,38,37,20.92,24,20.47,92,14,93.75,82.77,92,70,87.2
R,6364049,37.5,33.5,21.58,21,21.17,88,17.8,88.75,80.7,88,89,87.7
R,6423680,37.5,39,24.25,24,23.8,96,20,95.63,91.2,96,100,96.21
H,5096085,12.5,32,19.25,22,19.5,90,19,55.63,76.9,90,95,79.38
F,6215061,40,34,20.75,22,23.67,83,18,92.5,84.08,83,90,87.36
R,6172764,32,31.5,22.75,22,18.97,95,17.8,79.38,80.66,95,89,87.68
Missing,6092883,23.75,28,13.25,22,17.5,,18,64.69,66.77,0,90,44.08
F,6253321,40,38.5,28.58,24,24,97,20,98.13,96.94,97,100,97.93
